State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),DPS368 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,Flight Computer Voltage - Raw Voltage (V),Flight Computer Voltage - Real Voltage (V)
6.106,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.039,2.597
6.157,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.045,2.613
6.208,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.052,2.629
6.259,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
6.310,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.052,2.629
6.361,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.045,2.613
6.412,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.023,2.556
6.463,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
6.514,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.006,2.516
6.701,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,0.913,2.282
6.752,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
6.803,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.039,2.597
6.854,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.065,2.661
6.905,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
6.956,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.077,2.694
7.007,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.074,2.685
7.058,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.068,2.669
7.109,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.068,2.669
